text	labels
The distinction and monophyletic property of the basidiomycetous yeast species in the Bulleribasidium clade of the order Tremellales was resolved by molecular phylogenetic analysis based on the combined sequences of the 18S rRNA gene , internal transcribed spacer ( ITS ) region including 5 . 8S rRNA gene and 26S rRNA gene D1 / D2 domain .	O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The addition to the clade of new anamorphic species identified among ballistoconidium - forming yeasts isolated from China confirmed and strengthened the separation of this clade from other clades or lineages in the order Tremellales .	O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O
A new anamorphic genus , Mingxiaea gen . nov .	O O O O O O O O O O
( type species Mingxiaea variabilis comb . nov . ) is therefore proposed to accommodate the anamorphic species in the Bulleribasidium clade .	O O O O O O O O O O O O O O O O O O O O O O O
Six new combinations are proposed for the described species of this clade which were formerly assigned to the genus Bullera .	O O O O O O O O O O O O O O O O O O O O O
Four novel species in the new genus were identified among 16 ballistoconidium - forming yeast strains isolated from plant leaves collected in Hainan province , southern China , by D1 / D2 and ITS sequence analyses .	O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O
The novel species are described as Mingxiaea sanyaensis sp . nov .	O O O O O O O O O O O O
( type strain SY - 3 . 23 ( T ) = AS 2 . 3623 ( T ) = CBS 11408 ( T ) ) , Mingxiaea hainanensis ( type strain WZS - 8 . 13 ( T ) = AS 2 . 4161 ( T ) = CBS 11409 ( T ) ) , Mingxiaea foliicola ( type strain WZS - 8 . 14 ( T ) = AS 2 . 3518 ( T ) = CBS 11407 ( T ) ) and Mingxiaea wuzhishanensis ( type strain WZS - 29 . 8 ( T ) = AS 2 . 4163 ( T ) = CBS 11411 ( T ) ) .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Scardovia wiggsiae sp . nov . , isolated from the human oral cavity and clinical material , and emended descriptions of the genus Scardovia and Scardovia inopinata .	B I O O O O O O O O B O O O O O O O O O O O O O O B I O
Six strains of anaerobic , pleomorphic Gram - positive bacilli , isolated from the human oral cavity and an infected arm wound , were subjected to a comprehensive range of phenotypic and genotypic tests and were found to comprise a homogeneous group .	O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O
16S rRNA gene sequence analysis revealed that the isolates were most closely related to Scardovia inopinata CCUG 35729 ( T ) ( 94 . 8 - 94 . 9 % 16S rRNA gene sequence similarity ) .	O O O O O O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O
The isolates were saccharolytic and produced acetic and lactic acids as end products of fermentation .	O O O O O O O O O O O O O O O O
The major fatty acids were C ( 16 : 0 ) ( 49 . 8 % ) and C ( 18 : 1 ) omega9c ( 35 . 8 % ) .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Polar lipid analysis revealed a variety of glycolipids , diphosphatidylglycerol , an unidentified phospholipid and an unidentified phosphoglycolipid .	O O O O O O O O O O O O O O O O O O O
No respiratory quinones were detected .	O O O O O O
The peptidoglycan was of the type A4alpha L - Lys - Thr - Glu , with L - lysine partially replaced by L - ornithine .	O O O O O O O O O O O O O O O O O O O O O O O O O O
The DNA G + C content of one of the strains , C1A _ 55 ( T ) ( , ) was 55 mol % .	O O O O O O O O O O O O O O O O O O O O O O O O O O
A novel species , Scardovia wiggsiae sp . nov . , is proposed to accommodate the six isolates , with the type strain C1A _ 55 ( T ) ( = DSM 22547 ( T ) = CCUG 58090 ( T ) ) .	O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Flavobacterium ponti sp . nov . , isolated from seawater .	B I I I I I O O O O O
A Gram - stain - negative , non - flagellated , non - gliding , yellow - pigmented and rod - shaped bacterial strain , designated GSW - R14 ( T ) , was isolated from seawater of Geoje Island in the South Sea , Korea .	O O O O O O O O O O O O O O O O O O O O O O O O O O B I I O O O O O O O O O O O O O O O O O O
Strain GSW - R14 ( T ) grew optimally at 25 ^ 0C , at pH 7 . 0 - 8 . 0 and in the presence of 2 % ( w / v ) NaCl .	O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Phylogenetic analyses based on 16S rRNA gene sequences showed that strain GSW - R14 ( T ) belonged to the genus Flavobacterium , joining Flavobacterium gelidilacus LMG 21477 ( T ) by a bootstrap resampling value of 100 % .	O O O O O O O O O O O B I I O O O O O O O O O O B I O O O O O O O O O O O O O O
Strain GSW - R14 ( T ) exhibited 97 . 6 % 16S rRNA gene sequence similarity to F . gelidilacus LMG 21477 ( T ) and similarities of 91 . 2 - 95 . 2 % to other members of the genus Flavobacterium .	O B I I O O O O O O O O O O O O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O
Strain GSW - R14 ( T ) contained MK - 6 as the predominant menaquinone .	O B I I O O O O O O O O O O O O
The fatty acid profile of strain GSW - R14 ( T ) was similar to that of F . gelidilacus LMG 21477 ( T ) .	O O O O O O B I I O O O O O O O O B I I O O O O O O
The DNA G + C content of strain GSW - R14 ( T ) was 31 . 4 mol % and its DNA - DNA relatedness with F . gelidilacus LMG 21477 ( T ) was 31 % .	O O O O O O O O B I I O O O O O O O O O O O O O O O O B I I O O O O O O O O O
Strain GSW - R14 ( T ) could be distinguished from F . gelidilacus and the other species of the genus Flavobacterium by its phylogenetic and genetic distinctiveness and by several phenotypic properties .	O B I I O O O O O O O B I I O O O O O O O O O O O O O O O O O O O O
On the basis of these data , strain GSW - R14 ( T ) is considered to represent a novel species of the genus Flavobacterium , for which the name Flavobacterium ponti sp . nov .	O O O O O O O O B I I O O O O O O O O O O O O O O O O O O O B I I I I I
is proposed ; the type strain is GSW - R14 ( T ) ( = KCTC 22802 ( T ) = CCUG 58402 ( T ) ) .	O O O O O O O B I I O O O O O O O O O O O O O O O O O O
Thermasporomyces composti gen . nov . , sp . nov . , a thermophilic actinomycete isolated from compost .	B I I I I I I I I I I O O O O O O O O
A thermophilic , Gram - positive bacterium that formed a branched vegetative mycelium was isolated from compost .	O O O O O O O O O O O O O O O O O O
The strain , designated I3 ( T ) , grew at temperatures between 35 and 62 ^ 0C , with optimum growth at 50 - 55 ^ 0C .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
No growth was observed below 29 ^ 0C or above 65 ^ 0C .	O O O O O O O O O O O O O O
The pH range for growth was 5 . 7 - 10 . 0 , the pH for optimum growth was 7 . 0 and no growth was observed below pH 5 . 6 or above pH 10 . 8 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The DNA G + C content of strain I3 ( T ) was 69 . 2 mol % .	O O O O O O O O O O O O O O O O O O O
The major fatty acids found were C ( 15 : 0 ) iso ( 14 . 2 % ) , C ( 15 : 0 ) anteiso ( 12 . 1 % ) , C ( 17 : 0 ) iso ( 16 . 3 % ) and C ( 17 : 0 ) anteiso ( 21 . 7 % ) .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The major menaquinones were MK - 9 ( H ( 4 ) ) , MK - 10 ( H ( 4 ) ) and MK - 11 ( H ( 4 ) ) .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The cell wall contained glutamic acid , glycine , alanine and ll - diaminopimelic acid in a molar ratio of 1 . 0 : 3 . 9 : 0 . 6 : 0 . 5 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The polar lipids consisted of ninhydrin - positive phosphoglycolipids , phosphatidylglycerol , diphosphatidylglycerol and an unknown glycolipid .	O O O O O O O O O O O O O O O O O O
The cell - wall sugars were rhamnose and arabinose .	O O O O O O O O O O
16S rRNA gene sequence analysis assigned this actinomycete to the family Nocardioidaceae , but its 16S rRNA gene sequence shared no more than 95 . 5 % similarity with those of other members of the family .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The chemotaxonomic and phenotypic characteristics of strain I3 ( T ) differed in some respects from those of members of the genus Actinopolymorpha , the most closely related genus .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Therefore , strain I3 ( T ) represents a novel species in a new genus of the family Nocardioidaceae , for which the name Thermasporomyces composti gen . nov . , sp . nov .	O O O O O O O O O O O O O O O O O O O O O O O O B I I I I I I I I I I
The type strain of the type species is I3 ( T ) ( = JCM 16421 ( T ) = DSM 22891 ( T ) ) .	O O O O O O O O O O O O O O B I I I I O O O O O O O O
Phycicoccus cremeus sp . nov . , isolated from forest soil , and emended description of the genus Phycicoccus .	O O O O O O O O O O O O O O O O O O O O
A bacterial strain , designated V2M29 ( T ) , was isolated from forest soil collected in the Changbai Mountains , Heilongjiang Province , China .	O O O O O O O O O O O O O O O O O O O O O O O O O O
Cells of strain V2M29 ( T ) were Gram - positive , rod - shaped ( 0 . 5 - 0 . 8 mum in diameter and 1 . 5 - 2 . 0 mum in length ) , strictly aerobic and non - motile .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Colonies produced on R2A agar plates were creamy , smooth , circular and 0 . 3 - 0 . 8 mm in diameter .	O O O O O O O O O O O O O O O O O O O O O O O O
Strain V2M29 ( T ) grew at 14 - 35 ^ 0C ( optimum , 29 ^ 0C ) , at pH 4 . 1 - 10 . 0 ( optimum , pH 7 . 0 - 8 . 0 ) and in the presence of 0 - 7 . 0 % ( w / v ) NaCl ( optimum , 0 - 2 . 0 % ) .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Strain V2M29 ( T ) contained MK - 8 ( H ( 4 ) ) as the major respiratory quinone and iso - C ( 15 : 0 ) ( 20 . 9 % ) , iso - C ( 16 : 0 ) ( 18 . 5 % ) , C ( 17 : 1 ) omega8c ( 16 . 7 % ) and 10 - methyl - C ( 17 : 0 ) ( 9 . 2 % ) as the major cellular fatty acids .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The cell - wall peptidoglycan type was based on meso - 2 , 6 - diaminopimelic acid and the acyl type of the muramic acid was acetyl .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Diphosphatidylglycerol , phosphatidylinositol and six unknown glycolipids were the major polar lipids .	O O O O O O O O O O O O O
The G + C content of the DNA was 72 . 0 mol % ( T ( m ) ) .	O O O O O O O O O O O O O O O O O O O O O
16S rRNA gene sequence analysis indicated that strain V2M29 ( T ) was phylogenetically related to members of the genus Phycicoccus , with sequence similarities ranging from 96 . 6 - 97 . 8 % .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The DNA - DNA relatedness values of strain V2M29 ( T ) to Phycicoccus dokdonensis DS - 8 ( T ) and Phycicoccus bigeumensis DSM 19264 ( T ) were 32 . 5 + / - 3 . 3 % and 29 . 2 + / - 2 . 3 % , respectively .	O O O O O O O O O O O O O B I I I I I I I O B I I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O
Based on these results , it is concluded that strain V2M29 ( T ) represents a novel species of the genus Phycicoccus , for which the name Phycicoccus cremeus sp . nov .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
is proposed , with V2M29 ( T ) ( = CGMCC 1 . 6963 ( T ) = NBRC 104261 ( T ) ) as the type strain .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Streptomyces hyderabadensis sp . nov . , an actinomycete isolated from soil .	B I I I I I O O O O O O O
A novel actinomycete , designated strain OU - 40 ( T ) , was isolated from farm soil collected from the Hyderabad region of Andhra Pradesh , southern India .	O O O O O O B I I O O O O O O O O O O O O O O O O O O O O O
The strain was found to have morphological and chemotaxonomic characteristics typical of species of the genus Streptomyces .	O O O O O O O O O O O O O O O O O O
Phylogenetic analysis based on 16S rRNA gene sequences indicated that strain OU - 40 ( T ) belonged to the genus Streptomyces , and was related most closely to Streptomyces pactum NBRC 13433 ( T ) ( 99 . 0 % sequence similarity ) , Streptomyces olivaceus NBRC 12805 ( T ) ( 99 . 0 % ) and Streptomyces parvulus NBRC 13193 ( T ) ( 98 . 8 % ) .	O O O O O O O O O O O B I I O O O O O O O O O O O O O O O B I O O O O O O O O O O O O O O B I O O O O O O O O O O O O B I O O O O O O O O O O O O
Strain OU - 40 ( T ) could be distinguished from the type strains of its closest phylogenetic relatives based on levels of DNA - DNA relatedness and comparison of morphological and phenotypic data .	O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
It is therefore concluded that strain OU - 40 ( T ) represents a novel species of the genus Streptomyces , for which the name Streptomyces hyderabadensis sp . nov .	O O O O O O B I I O O O O O O O O O O O O O O O O B I I I I I
The type strain is OU - 40 ( T ) ( = CCTCC AA 209024 ( T ) = PCM 2692 ( T ) ) .	O O O O B I I O O O O O O O O O O O O O O O O O O O
Gordonia humi sp . nov . , isolated from soil .	B I I I I I O O O O O
A Gram - stain - positive , non - endospore - forming actinobacterium ( CC - 12301 ( T ) ) was isolated from soil attached to a spawn used in the laboratory to grow the edible mushroom Agaricus brasiliensis .	O O O O O O O O O O O O O O B I I I I I O O O O O O O O O O O O O O O O O O B I O
Based on 16S rRNA gene sequence similarities , strain CC - 12301 ( T ) was shown to belong to the genus Gordonia and was most closely related to the type strains of Gordonia hydrophobica ( 97 . 6 % similarity ) , Gordonia terrae ( 97 . 5 % ) , Gordonia amarae ( 97 . 5 % ) and Gordonia malaquae ( 97 . 4 % ) .	O O O O O O O O O B I I I I I O O O O O O O O O O O O O O O O O O B I O O O O O O O O B I O O O O O O O B I O O O O O O O B I O O O O O O O
The quinone system was determined to consist predominantly of menaquinone MK - 9 ( H ( 2 ) ) , minor amounts of MK - 8 ( H ( 2 ) ) and MK - 7 ( H ( 2 ) ) .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The polar lipid profile consisted of the major compounds diphosphatidylglycerol and phosphatidylethanolamine , moderate amounts of two phosphatidylinositol mannosides and phosphatidylinositol and minor amounts of phosphatidylglycerol , three unidentified glycolipids , two phosphoglycolipids and a phospholipid .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Mycolic acids were present .	O O O O O
These chemotaxonomic traits and the major fatty acids , which were C ( 16 : 1 ) cis9 , C ( 16 : 0 ) , C ( 18 : 1 ) and tuberculostearic acid ( 10 - methyl C ( 18 : 0 ) ) , supported the affiliation of strain CC - 12301 ( T ) to the genus Gordonia .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I I O O O O O
The results of physiological and biochemical tests allowed clear phenotypic differentiation of strain CC - 12301 ( T ) from the most closely related Gordonia species .	O O O O O O O O O O O O O B I I I I I O O O O O O O O
Strain CC - 12301 ( T ) therefore represents a novel species , for which the name Gordonia humi sp . nov .	O B I I I I I O O O O O O O O O O B I I I I I
is proposed , with the type strain CC - 12301 ( T ) ( = DSM 45298 ( T ) = CCM 7727 ( T ) ) .	O O O O O O O B I I I I I O O O O O O O O O O O O O O O
Methanoregula boonei gen . nov . , sp . nov . , an acidiphilic methanogen isolated from an acidic peat bog .	B I I I I I I I I I I O O O O O O O O O O O
A novel acidiphilic , hydrogenotrophic methanogen , designated strain 6A8 ( T ) , was isolated from an acidic ( pH 4 . 0 - 4 . 5 ) and ombrotrophic ( rain - fed ) bog located near Ithaca , NY , USA .	O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Cultures were dimorphic , containing thin rods ( 0 . 2 - 0 . 3 mum in diameter and 0 . 8 - 3 . 0 mum long ) and irregular cocci ( 0 . 2 - 0 . 8 mum in diameter ) .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The culture utilized H ( 2 ) / CO ( 2 ) to produce methane but did not utilize formate , acetate , methanol , ethanol , 2 - propanol , butanol or trimethylamine .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Optimal growth conditions were near pH 5 . 1 and 35 ^ 0C .	O O O O O O O O O O O O O O
The culture grew in basal medium containing as little as 0 . 43 mM Na ( + ) and growth was inhibited completely by 50 mM NaCl .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
To our knowledge , strain 6A8 ( T ) is one of the most acidiphilic ( lowest pH optimum ) and salt - sensitive methanogens in pure culture .	O O O O O B O O O O O O O O O O O O O O O O O O O O O O O
Acetate , coenzyme M , vitamins and yeast extract were required for growth .	O O O O O O O O O O O O O O
It is proposed that a new genus and species be established for this organism , Methanoregula boonei gen . nov . , sp . nov .	O O O O O O O O O O O O O O O B I I I I I I I I I I
The type strain of Methanoregula boonei is 6A8 ( T ) ( = DSM 21154 ( T ) = JCM 14090 ( T ) ) .	O O O O B I O B O O O O O O O O O O O O O O O O O O
Marinobacterium coralli sp . nov . , isolated from mucus of coral ( Mussismilia hispida ) .	B I I I I I O O O O O O O B I O O
A Gram - negative , aerobic bacterium , designated R - 40509 ( T ) , was isolated from mucus of the reef builder coral ( Mussismilia hispida ) located in the Sao Sebastiao Channel , Sao Paulo , Brazil .	O O O O O O O O O B I I O O O O O O O O O O O O O O B I O O O O O O O O O O O O O
The strain was oxidase - positive and catalase - negative , and required Na ( + ) for growth .	O O O O O O O O O O O O O O O O O O O O
Its phylogenetic position was in the genus Marinobacterium and the closest related species were Marinobacterium sediminicola , Marinobacterium maritimum and Marinobacterium stanieri ; the isolate exhibited 16S rRNA gene sequence similarities of 97 . 5 - 98 . 0 % with the type strains of these species .	O O O O O O O O O O O O O O B I O B I O B I O O O O O O O O O O O O O O O O O O O O O O O O O O
16S rRNA gene sequence similarities with other type strains of the genus Marinobacterium were below 96 % .	O O O O O O O O O O O O O O O O O O
DNA - DNA hybridizations between strain R - 40509 ( T ) and the type strains of the phylogenetically closest species of the genus Marinobacterium revealed less than 70 % DNA - DNA relatedness , supporting the novel species status of the strain .	O O O O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Phenotypic characterization revealed that the strain was able to grow at 15 - 42 ^ 0C and in medium containing up to 9 % NaCl .	O O O O O O O O O O O O O O O O O O O O O O O O O O
The isolate could be differentiated from phenotypically related species by several features , including its ability to utilize d - alanine , l - alanine , bromosuccinic acid , Beta - hydroxybutyric acid and alpha - ketovaleric acid , but not acetate or l - arabinose .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
It produced acetoin ( Voges - Proskauer ) , but did not have esterase lipase ( C8 ) or catalase activities .	O O O O O O O O O O O O O O O O O O O O O O
It possessed C ( 18 : 1 ) omega7c ( 35 % ) , summed feature 3 ( iso - C ( 15 : 0 ) 2 - OH and / or C ( 16 : 1 ) omega7c ; 25 % ) and C ( 16 : 0 ) ( 22 % ) as major cellular fatty acids .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The DNA G + C content was 58 . 5 mol % .	O O O O O O O O O O O O O
The name Marinobacterium coralli sp . nov .	O O B I I I I I
is proposed to accommodate this novel isolate ; the type strain is R - 40509 ( T ) ( = LMG 25435 ( T ) = CAIM 1449 ( T ) ) .	O O O O O O O O O O O O B I I O O O O O B I I I O O B I I I I O O
Amnibacterium kyonggiense gen . nov . , sp . nov . , a new member of the family Microbacteriaceae .	B I I I I I I I I I I O O O O O O O O O
A Gram - positive , non - motile bacterium , designated KSL51201 - 037 ( T ) , was isolated from Anyang stream , Republic of Korea , and was characterized using a polyphasic taxonomic approach .	O O O O O O O O O O O B I I I I I O O O O O O O O O O O O O O O O O O O O
Comparative 16S rRNA gene sequence analysis showed that strain KSL51201 - 037 ( T ) belonged to the family Microbacteriaceae of the class Actinobacteria and exhibited 96 . 9 % gene sequence similarity to Labedella gwakjiensis KSW2 - 17 ( T ) , 96 . 0 % to Leifsonia ginsengi wged11 ( T ) and 95 . 9 % to Microterricola viridarii KV - 677 ( T ) .	O O O O O O O O O B I I I I I O O O O O O O O O O O O O O O O O O O B I I I I I I I O O O O O O B I I I I I O O O O O O B I I I I I I I O
The G + C content of the genomic DNA was 72 . 7 mol % .	O O O O O O O O O O O O O O O O
Strain KSL51201 - 037 ( T ) had l - 2 , 4 - diaminobutyric acid as the diagnostic cell - wall diamino acid , MK - 11 and MK - 12 as the major menaquinones , anteiso - C ( 15 : 0 ) ( 47 . 8 % ) and iso - C ( 16 : 0 ) ( 24 . 0 % ) as the major fatty acids and phosphatidylglycerol and three unknown phospholipids as the major polar lipids .	O B I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
On the basis of phenotypic and genotypic properties and phylogenetic distinctiveness , it is suggested that strain KSL51201 - 037 ( T ) represents a novel species of a new genus in the family Microbacteriaceae for which the name Amnibacterium kyonggiense gen . nov . , sp . nov .	O O O O O O O O O O O O O O O O O B I I I I I O O O O O O O O O O O O O O O O B I I I I I I I I I I
The type strain of the type species is KSL51201 - 037 ( T ) ( = KEMC 51201 - 037 ( T ) = JCM 16463 ( T ) ) .	O O O O O O O O B I I I I I O O O O O O O O O O O O O O O O O
Miniimonas arenae gen . nov . , sp . nov . , an actinobacterium isolated from sea sand .	B I O O O O O O O O O O O O O O O O O
